species;Lat;Lon
Lepisiota canescens;-13.3138;48.31509
Lepisiota canescens;-12.37228;49.2294
Lepisiota canescens;-12.37228;49.2294
Lepisiota canescens;-12.37228;49.2294
Lepisiota canescens;-12.89713;49.65916
Lepisiota canescens;-12.44489;49.23594
Lepisiota canescens;-12.44489;49.23594
Lepisiota canescens;-12.44489;49.23594
Lepisiota canescens;-12.44489;49.23594
Lepisiota canescens;-12.38051;44.50217
Lepisiota canescens;-12.38051;44.50217
Lepisiota canescens;-12.38051;44.50217
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-12.37829;49.22677
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-13.39166;48.48249
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-12.37829;49.22677
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-12.37829;49.22677
Lepisiota canescens;-14.10744;48.11046
Lepisiota canescens;-13.14965;48.91765
Lepisiota canescens;-12.37829;49.22677
Lepisiota canescens;-13.14965;48.91765
Lepisiota canescens;-13.97045;48.15838
Lepisiota canescens;-13.5092;48.56722
Lepisiota canescens;-13.5092;48.56722
Lepisiota canescens;-13.97045;48.15838
Lepisiota canescens;-13.5092;48.56722
Lepisiota canescens;-13.97545;48.15929
Lepisiota canescens;-13.97545;48.15929
Lepisiota canescens;-13.3138;48.31509
Lepisiota canescens;-13.3138;48.31509
Lepisiota canescens;-13.3138;48.31509
Lepisiota canescens;-12.27777;49.29155
Lepisiota canescens;-12.27777;49.29155
Lepisiota canescens;-12.37285;49.22893
Lepisiota canescens;-12.37285;49.22893
Lepisiota canescens;-12.37285;49.22893
Lepisiota canescens;-12.37285;49.22893
Lepisiota canescens;-13.19728;49.04868
Lepisiota canescens;-13.19728;49.04868
Lepisiota canescens;-13.19728;49.04868
Lepisiota canescens;-13.19728;49.04868
Lepisiota canescens;-19.57967;46.28967
Lepisiota canescens;-19.57967;46.28967
Lepisiota canescens;-20.479856;48.331093
Lepisiota canescens;-18.925173;48.41865
Lepisiota canescens;-18.969856;48.465893
Lepisiota canescens;-13.4645;48.55167
Lepisiota canescens;16.72673;53.24942
Lepisiota canescens;12.54273;-12.19316
Lepisiota canescens;12.54112;-12.26798
Lepisiota canescens;12.51468;-12.3763
Lepisiota canescens;12.36497;-12.3049
Lepisiota canescens;12.36497;-12.3049
Lepisiota canescens;12.5123;-12.37328
Lepisiota canescens;12.51443;-12.37468
Lepisiota canescens;12.5123;-12.37328
Lepisiota canescens;12.51443;-12.37468
Lepisiota canescens;12.37038;-12.32333
Lepisiota canescens;12.38208;-12.32135
Lepisiota canescens;12.52645;-12.37465
Lepisiota canescens;12.37373;-12.32343
Lepisiota canescens;12.36497;-12.3049
Lepisiota canescens;12.36992;-12.32682
Lepisiota canescens;12.36497;-12.3049
Lepisiota canescens;12.37297;-12.32133
Lepisiota canescens;12.36652;-12.3234
Lepisiota canescens;12.37402;-12.32382
Lepisiota canescens;12.37003;-12.32712
Lepisiota canescens;12.37265;-12.32558
Lepisiota canescens;12.372;-12.32543
Lepisiota canescens;12.37003;-12.32712
Lepisiota canescens;12.37297;-12.32133
Lepisiota canescens;12.37433;-12.32293
Lepisiota canescens;12.37233;-12.32002
Lepisiota canescens;12.3697;-12.3236
Lepisiota canescens;12.37887;-12.32443
Lepisiota canescens;14.50995;-17.00337
Lepisiota canescens;14.50995;-17.00337
Lepisiota canescens;0.35202;34.86346
Lepisiota canescens;0.426354;36.252909
Lepisiota canescens;0.35202;34.86346
Lepisiota canescens;0.426354;36.252909
Lepisiota canescens;0.426354;36.252909
Lepisiota canescens;0.426354;36.252909
Lepisiota canescens;7.1596;2.5419
Lepisiota canescens;6.8533;2.4559
Lepisiota canescens;8.9699;1.7246
Lepisiota canescens;6.5526;2.6519
Lepisiota canescens;7.3578;2.6008
Lepisiota canescens;6.9096;2.4908
Lepisiota canescens;6.9026;2.5076
Lepisiota canescens;6.5262;2.7048
Lepisiota canescens;6.5337;2.6599
Lepisiota canescens;7.1005;2.639
Lepisiota canescens;6.525;2.6573
